1|0;1,0,0,-100,100;2,0,0,-40,-80;7,0,0,140,100
2|0;7,-100,40,-100,40;0,-40,100,-40,100;7,20,40,20,40;0,-40,40,-40,40;0,-40,-20,-40,-20
3|0;12,-40,40,80,160;13,-40,40,-100,-80
4|0;5,-100,50,-100,150;5,0,50,150,150;5,-50,50,-150,-50
5|0;12,0,0,-150,50;13,0,0,-150,200;14,0,0,50,150;15,0,0,200,150
6|0;16,0,0,-125,-100;17,0,0,-125,-200;18,0,0,-100,125;19,0,0,-200,125
7|0;28,-50,25,100,125;28,-100,25,-150,125;28,-150,25,-150,-75;28,0,25,100,-75
8|0;24,100,50,-200,-50;25,0,50,-200,200;1,150,100,150,100;2,50,100,100,-50
9|0;1,50,100,-50,100;2,-50,0,-150,-50;3,-50,100,-50,200;4,50,0,-150,-200;9,0,50,150,-50
10|0;25,0,-200,100,-150;26,0,-200,-150,-150;27,0,0,100,50;28,0,25,0,-75;24,0,0,-150,50
11|0;10,0,0,-150,100;15,0,0,-150,100
12|0;25,0,0,-250,-100;28,0,0,-200,-225
13|0;28,0,0,100,25;24,0,0,-150,50
14|0;24,0,0,-100,-100;28,0,25,100,125
