1|0;1,0,0,-100,100;2,0,0,-40,-80;7,0,0,140,100
2|0;12,0,0,-150,50;13,0,0,-150,200;14,0,0,50,150;15,0,0,200,150
3|0;20,-50,50,200,50;21,50,50,-200,0;22,0,0,0,200;23,0,100,0,-150
4|0;12,-40,40,80,160;13,-40,40,-100,-80
5|0;36,0,50,200,-200;37,0,50,200,200;32,0,25,-150,25
6|0;12,0,0,-150,50;13,0,0,-150,200;14,0,0,50,150;15,0,0,200,150
7|0;1,50,100,-50,100;2,-50,0,-150,-50;3,-50,100,-50,200;4,50,0,-150,-200;9,0,50,150,-50
1|1;1,0,0,-100,100;2,0,0,-40,-80;7,0,0,140,100
2|1;12,0,0,-150,50;13,0,0,-150,200;14,0,0,50,150;15,0,0,200,150
3|1;20,-50,50,200,50;21,50,50,-200,0;22,0,0,0,200;23,0,100,0,-150
4|1;12,-40,40,80,160;13,-40,40,-100,-80
5|1;36,0,50,200,-200;37,0,50,200,200;32,0,25,-150,25
6|1;12,0,0,-150,50;13,0,0,-150,200;14,0,0,50,150;15,0,0,200,150
1|2;1,0,0,-100,100;2,0,0,-40,-80;7,0,0,140,100
2|2;12,0,0,-150,50;13,0,0,-150,200;14,0,0,50,150;15,0,0,200,150
3|2;20,-50,50,200,50;21,50,50,-200,0;22,0,0,0,200;23,0,100,0,-150
4|2;12,-40,40,80,160;13,-40,40,-100,-80
5|2;36,0,50,200,-200;37,0,50,200,200;32,0,25,-150,25
1|3;1,0,0,-100,100;2,0,0,-40,-80;7,0,0,140,100
2|3;12,-40,40,80,160;13,-40,40,-100,-80
3|3;12,0,0,-150,50;13,0,0,-150,200;14,0,0,50,150;15,0,0,200,150
4|3;28,-50,25,100,125;28,-100,25,-150,125;28,-150,25,-150,-75;28,0,25,100,-75
5|3;24,100,50,-200,-50;25,0,50,-200,200;1,150,100,150,100;2,50,100,100,-50
6|3;1,50,100,-50,100;2,-50,0,-150,-50;3,-50,100,-50,200;4,50,0,-150,-200;9,0,50,150,-50
7|3;28,0,0,100,25;24,0,0,-150,50
8|3;24,0,0,-100,-100;28,0,25,100,125
9|3;28,0,0,100,-175;29,-25,25,-175,-100;30,-50,0,150,25;31,-25,-25,-125,100
10|3;1,0,0,-100,100;2,0,0,100,-100;3,50,0,-100,-100;4,50,0,100,100
11|3;0,0,0,-150,100;0,50,-50,100,-100;0,50,0,100,100;0,0,-50,-150,-100
12|3;18,0,0,-150,-125;19,0,100,100,-125;26,50,125,150,150;24,50,-25,-150,150
13|3;24,0,0,-100,150;25,50,-50,100,-100;26,0,-50,-100,-100;27,50,0,150,150
14|3;24,0,0,150,-100;25,-100,100,100,150;26,0,100,-100,100;27,-100,0,-150,-150
15|3;26,0,0,100,-100;25,-200,0,-150,-100;24,-100,0,-150,150;9,-100,0,-150,150;27,-100,0,100,150
16|3;1,0,0,-150,100;2,100,-100,150,-100;3,0,-100,-150,-100;4,100,0,150,100;9,50,-50,0,0
17|3;0,100,-50,200,-150;0,-100,150,-100,150;9,50,0,-100,-100;9,-50,100,150,150
